FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;QRESIDUOS_MUN;QRESIDUOS _VAL_INORGAN;PERIODO
20241212;1;10101;SELVA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;37870;37125;745;9872.6;131.75;2019
20241212;2;10102;SELVA;AMAZONAS;CHACHAPOYAS;ASUNCION;281;147;134;41.49;0;2019
20241212;3;10103;SIERRA;AMAZONAS;CHACHAPOYAS;BALSAS;1202;336;866;76.68;0;2019
20241212;4;10104;SIERRA;AMAZONAS;CHACHAPOYAS;CHETO;696;467;229;106.58;0;2019
20241212;5;10105;SIERRA;AMAZONAS;CHACHAPOYAS;CHILIQUIN;604;178;426;40.62;0;2019
20241212;6;10106;SIERRA;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;1955;521;1434;118.9;0;2019
20241212;7;10107;SELVA;AMAZONAS;CHACHAPOYAS;GRANADA;532;183;349;51.66;0;2019
20241212;8;10108;SIERRA;AMAZONAS;CHACHAPOYAS;HUANCAS;1395;1338;57;337.63;0;2019
20241212;9;10109;SELVA;AMAZONAS;CHACHAPOYAS;LA JALCA;4080;2312;1768;652.6;0;2019
20241212;10;10110;SELVA;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;3845;2859;986;1013.7;0;2019
20241212;11;10111;SIERRA;AMAZONAS;CHACHAPOYAS;LEVANTO;817;449;368;102.5;0;2019
20241212;12;10112;SELVA;AMAZONAS;CHACHAPOYAS;MAGDALENA;913;731;182;206.3;0;2019
20241212;13;10113;SELVA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;1507;1036;471;256.9;0;2019
20241212;14;10114;SIERRA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;2296;631;1665;144;0;2019
20241212;15;10115;SELVA;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;503;461;42;107.2;0;2019
20241212;16;10116;SELVA;AMAZONAS;CHACHAPOYAS;OLLEROS;429;141;288;39.8;0;2019
20241212;17;10117;SELVA;AMAZONAS;CHACHAPOYAS;QUINJALCA;807;95;712;26.82;0;2019
20241212;18;10118;SELVA;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;323;238;85;50.88;0;2019
20241212;19;10119;SELVA;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;599;429;170;121.1;0;2019
20241212;20;10120;SELVA;AMAZONAS;CHACHAPOYAS;SOLOCO;1279;217;1062;61.25;0;2019
20241212;21;10121;SELVA;AMAZONAS;CHACHAPOYAS;SONCHE;274;106;168;29.92;0;2019
20241212;22;10201;SELVA;AMAZONAS;BAGUA;BAGUA;29540;26870;2670;5969.6;91.15;2019
20241212;23;10202;SELVA;AMAZONAS;BAGUA;ARAMANGO;10300;2874;7426;1198.9;0;2019
20241212;24;10203;SELVA;AMAZONAS;BAGUA;COPALLIN;4787;2370;2417;556.1;0;2019
20241212;25;10204;SELVA;AMAZONAS;BAGUA;EL PARCO;1292;669;623;175.8;0;2019
20241212;26;10205;SELVA;AMAZONAS;BAGUA;IMAZA;31300;5618;25682;1552.57;0;2019
20241212;27;10206;SELVA;AMAZONAS;BAGUA;LA PECA;6631;4093;2538;789.7;0;2019
20241212;28;10301;SELVA;AMAZONAS;BONGARA;JUMBILLA;1354;1112;242;417.48;0;2019
20241212;29;10302;SELVA;AMAZONAS;BONGARA;CHISQUILLA;321;124;197;35;0;2019
20241212;30;10303;SELVA;AMAZONAS;BONGARA;CHURUJA;301;291;10;60.6;0;2019
20241212;31;10304;SELVA;AMAZONAS;BONGARA;COROSHA;819;80;739;22.58;0;2019
20241212;32;10305;SELVA;AMAZONAS;BONGARA;CUISPES;694;384;310;108.4;0;2019
20241212;33;10306;SELVA;AMAZONAS;BONGARA;FLORIDA;6409;3858;2551;945.49;0;2019
20241212;34;10307;SELVA;AMAZONAS;BONGARA;JAZAN;7994;6721;1273;1051.4;0;2019
