FECHA_CORTE;UBIGEO;ANIO;DEPARTAMENTO;PROVINCIA;DISTRITO;REGION_NATURAL;TIPO_MUNICIPALIDAD;POB_TOTAL_INEI;POB_URBANA_INEI;POB_RURAL_INEI;CLASIFICACION_MUNICIPAL_MEF;GENERACION_PER_CAPITA_DOM;GENERACION_DOM_URBANA_TDIA;GENERACION_DOM URBANA_TANIO;GENERACION_MUN_TANIO;GENERACION_MUN_TDIA;GENERACION_PER_CAPITA_MUNICIPAL
20240410;130111;2021;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;COSTA;DISTRITAL;79941;79941;0;D;0.68;54.36;19841.36;28344.79;77.66;0.97
20240410;130201;2021;LA LIBERTAD;ASCOPE;ASCOPE;COSTA;PROVINCIAL;6866;6285;581;B;0.52;3.27;1192.89;1704.13;4.67;0.74
20240410;130202;2021;LA LIBERTAD;ASCOPE;CHICAMA;COSTA;DISTRITAL;16135;14647;1488;E;0.43;6.30;2298.85;3284.07;9.00;0.61
20240410;130203;2021;LA LIBERTAD;ASCOPE;CHOCOPE;COSTA;DISTRITAL;9815;7381;2434;E;0.52;3.84;1400.91;2001.31;5.48;0.74
20240410;130204;2021;LA LIBERTAD;ASCOPE;MAGDALENA DE CAO;COSTA;DISTRITAL;2664;2150;514;E;0.80;1.72;627.80;896.86;2.46;1.14
20240410;130205;2021;LA LIBERTAD;ASCOPE;PAIJAN;COSTA;DISTRITAL;29370;27438;1932;D;0.55;15.09;5508.18;7868.83;21.56;0.79
20240410;130206;2021;LA LIBERTAD;ASCOPE;RAZURI;COSTA;DISTRITAL;9500;6177;3323;F;0.58;3.58;1307.67;1868.10;5.12;0.83
20240410;130207;2021;LA LIBERTAD;ASCOPE;SANTIAGO DE CAO;COSTA;DISTRITAL;20061;19410;651;E;0.42;8.15;2975.55;4250.79;11.65;0.60
20240410;130208;2021;LA LIBERTAD;ASCOPE;CASA GRANDE;COSTA;DISTRITAL;29897;28048;1849;D;0.59;16.55;6040.14;8628.77;23.64;0.84
20240410;130301;2021;LA LIBERTAD;BOLIVAR;BOLIVAR;SIERRA;PROVINCIAL;5062;1598;3464;B;0.66;1.05;384.96;549.94;1.51;0.94
20240410;130302;2021;LA LIBERTAD;BOLIVAR;BAMBAMARCA;SIERRA;DISTRITAL;3136;608;2528;G;0.49;0.30;108.74;155.34;0.43;0.70
20240410;130303;2021;LA LIBERTAD;BOLIVAR;CONDORMARCA;SIERRA;DISTRITAL;2140;344;1796;G;0.44;0.15;55.25;78.92;0.22;0.63
20240410;130304;2021;LA LIBERTAD;BOLIVAR;LONGOTEA;SIERRA;DISTRITAL;2353;1263;1090;F;0.44;0.56;202.84;289.77;0.79;0.63
20240410;130305;2021;LA LIBERTAD;BOLIVAR;UCHUMARCA;SIERRA;DISTRITAL;2364;1004;1360;F;0.55;0.55;201.55;287.93;0.79;0.79
20240410;130306;2021;LA LIBERTAD;BOLIVAR;UCUNCHA;SIERRA;DISTRITAL;902;651;251;E;0.16;0.10;38.02;54.31;0.15;0.23
20240410;130401;2021;LA LIBERTAD;CHEPEN;CHEPEN;COSTA;PROVINCIAL;49231;45555;3676;A;0.61;27.79;10142.82;14489.74;39.70;0.87
20240410;130402;2021;LA LIBERTAD;CHEPEN;PACANGA;COSTA;DISTRITAL;25318;20134;5184;E;0.44;8.86;3233.52;4619.31;12.66;0.63
20240410;130403;2021;LA LIBERTAD;CHEPEN;PUEBLO NUEVO;COSTA;DISTRITAL;12816;9422;3394;E;0.55;5.18;1891.47;2702.10;7.40;0.79
20240410;130501;2021;LA LIBERTAD;JULCAN;JULCAN;SIERRA;PROVINCIAL;12788;2735;10053;B;0.28;0.77;279.52;399.31;1.09;0.40
20240410;130502;2021;LA LIBERTAD;JULCAN;CALAMARCA;SIERRA;DISTRITAL;4990;581;4409;G;0.44;0.26;93.31;133.30;0.37;0.63
20240410;130503;2021;LA LIBERTAD;JULCAN;CARABAMBA;SIERRA;DISTRITAL;6926;1234;5692;G;0.38;0.47;171.16;244.51;0.67;0.54
20240410;130504;2021;LA LIBERTAD;JULCAN;HUASO;SIERRA;DISTRITAL;6247;633;5614;G;0.60;0.38;138.63;198.04;0.54;0.86
20240410;130601;2021;LA LIBERTAD;OTUZCO;OTUZCO;SIERRA;PROVINCIAL;27030;13641;13389;B;0.50;6.82;2489.48;3556.40;9.74;0.71
20240410;130602;2021;LA LIBERTAD;OTUZCO;AGALLPAMPA;SIERRA;DISTRITAL;10482;825;9657;G;0.44;0.36;132.50;189.28;0.52;0.63
20240410;130604;2021;LA LIBERTAD;OTUZCO;CHARAT;SIERRA;DISTRITAL;2545;669;1876;G;0.44;0.29;107.44;153.49;0.42;0.63
20240410;130605;2021;LA LIBERTAD;OTUZCO;HUARANCHAL;SIERRA;DISTRITAL;4065;1911;2154;F;0.44;0.84;306.91;438.44;1.20;0.63
20240410;130606;2021;LA LIBERTAD;OTUZCO;LA CUESTA;SIERRA;DISTRITAL;661;66;595;G;0.62;0.04;14.94;21.34;0.06;0.89
20240410;130608;2021;LA LIBERTAD;OTUZCO;MACHE;SIERRA;DISTRITAL;2853;844;2009;G;0.44;0.37;135.55;193.64;0.53;0.63
20240410;130610;2021;LA LIBERTAD;OTUZCO;PARANDAY;SIERRA;DISTRITAL;536;126;410;G;0.44;0.06;20.24;28.91;0.08;0.63
20240410;130611;2021;LA LIBERTAD;OTUZCO;SALPO;SIERRA;DISTRITAL;6571;1127;5444;G;0.44;0.50;181.00;258.57;0.71;0.63
20240410;130613;2021;LA LIBERTAD;OTUZCO;SINSICAP;SIERRA;DISTRITAL;7509;2060;5449;G;0.44;0.91;330.84;472.62;1.29;0.63
20240410;130614;2021;LA LIBERTAD;OTUZCO;USQUIL;SIERRA;DISTRITAL;22824;3228;19596;G;0.48;1.55;565.55;807.92;2.21;0.69
20240410;130701;2021;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;COSTA;PROVINCIAL;19647;18412;1235;B;0.23;4.23;1545.69;2208.12;6.05;0.33
20240410;130702;2021;LA LIBERTAD;PACASMAYO;GUADALUPE;COSTA;DISTRITAL;44710;40223;4487;D;0.39;15.69;5725.74;8179.63;22.41;0.56
20240410;130703;2021;LA LIBERTAD;PACASMAYO;JEQUETEPEQUE;COSTA;DISTRITAL;4708;4286;422;E;0.55;2.36;860.41;1229.16;3.37;0.79
20240410;130704;2021;LA LIBERTAD;PACASMAYO;PACASMAYO;COSTA;DISTRITAL;32691;32652;39;D;0.60;19.59;7150.79;10215.41;27.99;0.86
