ubigeo,tipo_municipalidad,clasificacion_mef
101102,DISTRITAL,F
101103,DISTRITAL,G
101104,DISTRITAL,G
101105,DISTRITAL,G
101106,DISTRITAL,G
101107,DISTRITAL,G
101108,DISTRITAL,G
110101,PROVINCIAL,A
110102,DISTRITAL,D
110103,DISTRITAL,D
110104,DISTRITAL,F
110105,DISTRITAL,E
110106,DISTRITAL,D
110107,DISTRITAL,F
110108,DISTRITAL,D
110109,DISTRITAL,E
110110,DISTRITAL,D
110111,DISTRITAL,E
110112,DISTRITAL,D
110113,DISTRITAL,E
110114,DISTRITAL,G
110201,PROVINCIAL,A
110202,DISTRITAL,E
110203,DISTRITAL,G
110204,DISTRITAL,F
110205,DISTRITAL,F
110206,DISTRITAL,D
110207,DISTRITAL,D
110208,DISTRITAL,G
110209,DISTRITAL,G
110210,DISTRITAL,D
110211,DISTRITAL,E
110301,PROVINCIAL,A
110302,DISTRITAL,F
110303,DISTRITAL,F
110304,DISTRITAL,E
110305,DISTRITAL,D
110401,PROVINCIAL,B
110402,DISTRITAL,E
110403,DISTRITAL,F
110404,DISTRITAL,F
110405,DISTRITAL,F
110501,PROVINCIAL,A
110502,DISTRITAL,G
110503,DISTRITAL,F
110504,DISTRITAL,F
110505,DISTRITAL,E
110506,DISTRITAL,D
110507,DISTRITAL,D
110508,DISTRITAL,D
120101,PROVINCIAL,A
120104,DISTRITAL,E
120105,DISTRITAL,F
120106,DISTRITAL,F
120107,DISTRITAL,D
120108,DISTRITAL,F
120111,DISTRITAL,F
120112,DISTRITAL,F
