residuo_id,tipo_residuo,descripcion
1,ORGANICO,"Residuos orgánicos valorizables (compostaje, biodigestión, etc.)"
2,INORGANICO,"Residuos inorgánicos valorizables (reciclaje de papel, plástico, metal, etc.)"
