id,ubigeo,anio,pob_total_inei,pob_urbana_inei,pob_rural_inei,generacion_per_capita_dom,generacion_dom_urbana_tdia,generacion_dom_urbana_tanio,generacion_mun_tanio,generacion_mun_tdia,generacion_per_capita_municipal,ratio_dom_vs_mun_pct
1,10101,2019,37870,37125,745,0.51,18.93,6910.82,9872.6,27.05,0.73,69.9815
2,10101,2020,39051,38221,830,0.51,19.49,7114.84,10164.06,27.85,0.73,69.982
3,10101,2021,39691,38800,891,0.39,15.13,5523.18,7890.26,21.62,0.56,69.9815
4,10101,2022,40274,39322,952,0.39,15.34,5597.49,7996.41,21.91,0.56,70.0137
5,10101,2023,40824,39859,965,0.5,19.93,7274.27,10391.81,28.47,0.71,70.0035
6,10101,2024,41335,40358,977,0.5,20.18,7365.34,10521.91,28.83,0.71,69.9965
7,10102,2019,281,147,134,0.54,0.08,29.05,41.49,0.11,0.77,72.7273
8,10102,2020,278,140,138,0.53,0.07,27.31,39.01,0.11,0.76,63.6364
9,10102,2021,277,135,142,0.51,0.07,25.33,36.19,0.1,0.73,70.0
10,10102,2022,276,132,144,0.52,0.07,25.0,35.71,0.1,0.74,70.0
11,10102,2023,273,131,142,0.53,0.07,25.5,36.43,0.1,0.76,70.0
12,10102,2024,271,130,141,0.53,0.07,25.15,35.93,0.1,0.76,70.0
13,10103,2019,1202,336,866,0.44,0.15,53.68,76.68,0.21,0.63,71.4286
14,10103,2020,1180,311,869,0.44,0.14,49.58,70.83,0.19,0.62,73.6842
15,10103,2021,1169,296,873,0.44,0.13,47.54,67.91,0.19,0.63,68.4211
16,10103,2022,1158,281,877,0.45,0.13,45.67,65.24,0.18,0.64,72.2222
17,10103,2023,1147,278,869,0.44,0.12,44.95,64.22,0.18,0.63,66.6667
18,10103,2024,1137,276,861,0.45,0.12,45.33,64.76,0.18,0.64,66.6667
19,10104,2019,696,467,229,0.44,0.2,74.6,106.58,0.29,0.63,68.9655
20,10104,2020,702,459,243,0.44,0.2,73.18,104.54,0.29,0.62,68.9655
21,10104,2021,705,452,253,0.44,0.2,72.59,103.7,0.28,0.63,71.4286
22,10104,2022,707,444,263,0.45,0.2,72.16,103.09,0.28,0.64,71.4286
23,10104,2023,709,445,264,0.44,0.2,71.96,102.8,0.28,0.63,71.4286
24,10104,2024,713,448,265,0.45,0.2,73.58,105.12,0.29,0.64,68.9655
25,10105,2019,604,178,426,0.44,0.08,28.44,40.62,0.11,0.63,72.7273
26,10105,2020,589,164,425,0.44,0.07,26.15,37.35,0.1,0.62,70.0
27,10105,2021,581,156,425,0.44,0.07,25.05,35.79,0.1,0.63,70.0
28,10105,2022,575,148,427,0.45,0.07,24.05,34.36,0.09,0.64,77.7778
29,10105,2023,568,146,422,0.44,0.06,23.61,33.73,0.09,0.63,66.6667
30,10105,2024,561,144,417,0.45,0.06,23.65,33.79,0.09,0.64,66.6667
31,10106,2019,1955,521,1434,0.44,0.23,83.23,118.9,0.33,0.63,69.697
32,10106,2020,1933,486,1447,0.44,0.21,77.48,110.69,0.3,0.62,70.0
33,10106,2021,1922,464,1458,0.44,0.2,74.52,106.45,0.29,0.63,68.9655
34,10106,2022,1910,443,1467,0.45,0.2,72.0,102.86,0.28,0.64,71.4286
35,10106,2023,1898,440,1458,0.44,0.19,71.15,101.65,0.28,0.63,67.8571
36,10106,2024,1884,437,1447,0.45,0.2,71.78,102.54,0.28,0.64,71.4286
37,10107,2019,532,183,349,0.54,0.1,36.16,51.66,0.14,0.77,71.4286
38,10107,2020,539,176,363,0.53,0.09,34.33,49.04,0.13,0.76,69.2308
39,10107,2021,541,170,371,0.51,0.09,31.9,45.58,0.12,0.73,75.0
40,10107,2022,543,164,379,0.52,0.09,31.06,44.37,0.12,0.74,75.0
41,10107,2023,544,164,380,0.53,0.09,31.92,45.61,0.12,0.76,75.0
42,10107,2024,549,166,383,0.53,0.09,32.11,45.88,0.13,0.76,69.2308
43,10108,2019,1395,1338,57,0.48,0.65,236.34,337.63,0.93,0.69,69.8925
44,10108,2020,1456,1392,64,0.48,0.67,245.88,351.26,0.96,0.69,69.7917
45,10108,2021,1481,1413,68,0.48,0.68,249.59,356.55,0.98,0.69,69.3878
46,10108,2022,1500,1428,72,0.48,0.69,252.24,360.34,0.99,0.69,69.697
47,10108,2023,1515,1442,73,0.48,0.7,254.71,363.87,1.0,0.69,70.0
48,10108,2024,1526,1453,73,0.45,0.65,238.66,340.94,0.93,0.64,69.8925
49,10109,2019,4080,2312,1768,0.54,1.25,456.84,652.63,1.79,0.77,69.8324
50,10109,2020,3966,2169,1797,0.53,1.16,423.08,604.39,1.66,0.76,69.8795
51,10109,2021,3834,2045,1789,0.51,1.05,383.78,548.25,1.5,0.73,70.0
52,10109,2022,3697,1922,1775,0.52,1.0,363.99,519.98,1.42,0.74,70.4225
53,10109,2023,3558,1850,1708,0.53,0.99,360.12,514.46,1.41,0.76,70.2128
54,10109,2024,3418,1777,1641,0.53,0.94,343.76,491.09,1.35,0.76,69.6296
55,10110,2019,3845,2859,986,0.68,1.94,709.6,1013.72,2.78,0.97,69.7842
56,10110,2020,3815,2778,1037,0.27,0.75,273.77,391.1,1.07,0.39,70.0935
57,10110,2021,3799,2726,1073,0.27,0.74,268.65,383.78,1.05,0.39,70.4762
58,10110,2022,3781,2672,1109,0.27,0.72,263.33,376.18,1.03,0.39,69.9029
59,10110,2023,3759,2656,1103,0.27,0.72,261.75,373.93,1.02,0.39,70.5882
60,10110,2024,3738,2642,1096,0.27,0.71,260.37,371.96,1.02,0.39,69.6078
61,10111,2019,817,449,368,0.44,0.2,71.73,102.47,0.28,0.63,71.4286
62,10111,2020,803,426,377,0.44,0.19,67.92,97.03,0.27,0.62,70.3704
63,10111,2021,796,411,385,0.44,0.18,66.01,94.3,0.26,0.63,69.2308
64,10111,2022,789,397,392,0.45,0.18,64.53,92.18,0.25,0.64,72.0
65,10111,2023,781,393,388,0.44,0.17,63.55,90.79,0.25,0.63,68.0
66,10111,2024,774,389,385,0.45,0.18,63.89,91.28,0.25,0.64,72.0
67,10112,2019,913,731,182,0.54,0.4,144.44,206.34,0.57,0.77,70.1754
68,10112,2020,911,717,194,0.53,0.38,139.86,199.79,0.55,0.76,69.0909
69,10112,2021,910,709,201,0.51,0.36,133.06,190.08,0.52,0.73,69.2308
70,10112,2022,906,697,209,0.52,0.36,132.0,188.57,0.52,0.74,69.2308
71,10112,2023,903,695,208,0.38,0.26,96.4,137.71,0.38,0.54,68.4211
72,10112,2024,900,692,208,0.38,0.26,95.98,137.11,0.38,0.54,68.4211
73,10113,2019,1507,1036,471,0.48,0.49,179.85,256.93,0.7,0.68,70.0
74,10113,2020,1534,1028,506,0.48,0.49,178.46,254.95,0.7,0.68,70.0
75,10113,2021,1561,1029,532,0.48,0.49,178.64,255.19,0.7,0.68,70.0
76,10113,2022,1586,1025,561,0.48,0.49,177.94,254.2,0.7,0.68,70.0
77,10113,2023,1609,1040,569,0.48,0.49,180.55,257.92,0.71,0.68,69.0141
78,10113,2024,1631,1054,577,0.53,0.56,203.9,291.28,0.8,0.76,70.0
79,10114,2019,2296,631,1665,0.44,0.28,100.8,144.0,0.39,0.63,71.7949
80,10114,2020,2266,588,1678,0.44,0.26,93.75,133.92,0.37,0.62,70.2703
81,10114,2021,2251,561,1690,0.44,0.25,90.1,128.71,0.35,0.63,71.4286
82,10114,2022,2235,535,1700,0.45,0.24,86.95,124.22,0.34,0.64,70.5882
83,10114,2023,2218,531,1687,0.44,0.24,85.87,122.67,0.34,0.63,70.5882
84,10114,2024,2201,527,1674,0.45,0.24,86.56,123.66,0.34,0.64,70.5882
85,10115,2019,503,461,42,0.45,0.21,75.01,107.16,0.29,0.64,72.4138
86,10115,2020,487,443,44,0.45,0.2,72.09,102.98,0.28,0.64,71.4286
87,10115,2021,479,434,45,0.45,0.19,70.62,100.89,0.28,0.64,67.8571
88,10115,2022,472,426,46,0.45,0.19,69.32,99.03,0.27,0.64,70.3704
89,10115,2023,465,420,45,0.47,0.2,72.05,102.93,0.28,0.67,71.4286
90,10115,2024,459,414,45,0.47,0.19,71.02,101.46,0.28,0.67,67.8571
91,10116,2019,429,141,288,0.54,0.08,27.86,39.8,0.11,0.77,72.7273
92,10116,2020,435,136,299,0.53,0.07,26.53,37.9,0.1,0.76,70.0
93,10116,2021,438,131,307,0.51,0.07,24.58,35.12,0.1,0.73,70.0
94,10116,2022,441,127,314,0.52,0.07,24.05,34.36,0.09,0.74,77.7778
95,10116,2023,444,128,316,0.53,0.07,24.92,35.6,0.1,0.76,70.0
96,10116,2024,446,128,318,0.53,0.07,24.76,35.37,0.1,0.76,70.0
97,10117,2019,807,95,712,0.54,0.05,18.77,26.82,0.07,0.77,71.4286
98,10117,2020,792,87,705,0.53,0.05,16.97,24.24,0.07,0.76,71.4286
99,10117,2021,785,82,703,0.51,0.04,15.39,21.98,0.06,0.73,66.6667
100,10117,2022,778,77,701,0.52,0.04,14.58,20.83,0.06,0.74,66.6667
101,10117,2023,770,76,694,0.53,0.04,14.79,21.13,0.06,0.76,66.6667
102,10117,2024,763,76,687,0.53,0.04,14.7,21.0,0.06,0.76,66.6667
103,10118,2019,323,238,85,0.41,0.1,35.62,50.88,0.14,0.59,71.4286
104,10118,2020,323,233,90,0.41,0.1,34.87,49.81,0.14,0.59,71.4286
105,10118,2021,325,231,94,0.41,0.09,34.57,49.38,0.14,0.59,64.2857
106,10118,2022,326,227,99,0.41,0.09,33.97,48.53,0.13,0.59,69.2308
107,10118,2023,327,228,99,0.41,0.09,34.12,48.74,0.13,0.59,69.2308
108,10118,2024,332,231,101,0.41,0.09,34.57,49.38,0.14,0.59,64.2857
109,10119,2019,599,429,170,0.54,0.23,84.77,121.1,0.33,0.77,69.697
110,10119,2020,590,413,177,0.53,0.22,80.56,115.08,0.32,0.76,68.75
111,10119,2021,585,402,183,0.4,0.16,58.69,83.85,0.23,0.57,69.5652
112,10119,2022,581,392,189,0.4,0.16,57.23,81.76,0.22,0.57,72.7273
113,10119,2023,576,389,187,0.4,0.16,56.79,81.13,0.22,0.57,72.7273
114,10119,2024,570,385,185,0.4,0.15,56.21,80.3,0.22,0.57,68.1818
115,10120,2019,1279,217,1062,0.54,0.12,42.88,61.25,0.17,0.77,70.5882
116,10120,2020,1261,200,1061,0.53,0.11,39.01,55.73,0.15,0.76,73.3333
117,10120,2021,1252,190,1062,0.51,0.1,35.66,50.94,0.14,0.73,71.4286
118,10120,2022,1243,180,1063,0.52,0.09,34.09,48.7,0.13,0.74,69.2308
119,10120,2023,1234,179,1055,0.53,0.1,34.84,49.78,0.14,0.76,71.4286
120,10120,2024,1224,177,1047,0.53,0.09,34.24,48.92,0.13,0.76,69.2308
121,10121,2019,274,106,168,0.54,0.06,20.94,29.92,0.08,0.77,75.0
122,10121,2020,277,102,175,0.53,0.05,19.9,28.42,0.08,0.76,62.5
123,10121,2021,279,99,180,0.51,0.05,18.58,26.54,0.07,0.73,71.4286
124,10121,2022,280,97,183,0.52,0.05,18.37,26.24,0.07,0.74,71.4286
125,10121,2023,281,97,184,0.53,0.05,18.88,26.97,0.07,0.76,71.4286
126,10121,2024,286,99,187,0.53,0.05,19.15,27.36,0.07,0.76,71.4286
127,10201,2019,29540,26870,2670,0.43,11.45,4178.71,5969.58,16.36,0.61,69.9878
128,10201,2020,29905,27173,2732,0.43,11.58,4225.83,6036.9,16.54,0.61,70.0121
129,10201,2021,30240,27441,2799,0.43,11.8,4306.86,6152.66,16.86,0.61,69.9881
130,10201,2022,30479,27620,2859,0.54,14.91,5443.9,7777.0,21.31,0.77,69.9672
131,10201,2023,30652,27777,2875,0.43,11.94,4359.6,6228.0,17.06,0.61,69.9883
132,10201,2024,30790,27902,2888,0.43,12.0,4379.22,6256.03,17.14,0.61,70.0117
133,10202,2019,10300,2874,7426,0.8,2.3,839.21,1198.87,3.28,1.14,70.122
134,10202,2020,10149,2806,7343,0.8,2.24,819.35,1170.5,3.21,1.14,69.7819
135,10202,2021,10049,2751,7298,0.8,2.2,803.29,1147.56,3.14,1.14,70.0637
136,10202,2022,9919,2685,7234,0.8,2.15,784.02,1120.03,3.07,1.14,70.0326
137,10202,2023,9770,2645,7125,0.56,1.48,540.64,772.34,2.12,0.8,69.8113
138,10202,2024,9613,2602,7011,0.59,1.54,560.34,800.49,2.19,0.84,70.3196
139,10203,2019,4787,2370,2417,0.45,1.07,389.27,556.1,1.52,0.64,70.3947
140,10203,2020,4660,2293,2367,0.45,1.03,376.63,538.04,1.47,0.64,70.068
141,10203,2021,4563,2229,2334,0.45,1.0,366.11,523.02,1.43,0.64,69.9301
142,10203,2022,4452,2158,2294,0.45,0.97,354.45,506.36,1.39,0.64,69.7842
143,10203,2023,4334,2101,2233,0.45,0.95,345.09,492.98,1.35,0.64,70.3704
144,10203,2024,4213,2042,2171,0.45,0.92,335.4,479.14,1.31,0.64,70.229
145,10204,2019,1292,669,623,0.5,0.34,123.07,175.81,0.48,0.72,70.8333
146,10204,2020,1287,663,624,0.5,0.33,121.0,172.85,0.47,0.71,70.2128
147,10204,2021,1281,655,626,0.5,0.33,119.54,170.77,0.47,0.71,70.2128
148,10204,2022,1273,646,627,0.54,0.35,127.33,181.9,0.5,0.77,70.0
149,10204,2023,1262,640,622,0.54,0.35,126.14,180.21,0.49,0.77,71.4286
150,10204,2024,1251,635,616,0.54,0.34,125.16,178.8,0.49,0.77,69.3878
151,10205,2019,31300,5618,25682,0.53,2.98,1086.8,1552.57,4.25,0.76,70.1176
152,10205,2020,32136,5709,26427,0.53,3.03,1104.41,1577.72,4.32,0.76,70.1389
153,10205,2021,32789,5758,27031,0.53,3.05,1113.89,1591.26,4.36,0.76,69.9541
154,10205,2022,33338,5781,27557,0.53,3.06,1118.33,1597.62,4.38,0.76,69.863
155,10205,2023,33812,5863,27949,0.53,3.11,1134.2,1620.28,4.44,0.76,70.045
156,10205,2024,34240,5937,28303,0.53,3.15,1148.51,1640.73,4.5,0.76,70.0
157,10206,2019,6631,4093,2538,0.37,1.51,552.76,789.66,2.16,0.53,69.9074
158,10206,2020,6535,4014,2521,0.37,1.49,542.09,774.42,2.12,0.53,70.283
159,10206,2021,6453,3942,2511,0.37,1.46,532.37,760.52,2.08,0.53,70.1923
160,10206,2022,6374,3871,2503,0.37,1.43,522.78,746.83,2.05,0.53,69.7561
161,10206,2023,6299,3825,2474,0.37,1.42,516.57,737.95,2.02,0.53,70.297
162,10206,2024,6226,3781,2445,0.59,2.23,814.24,1163.2,3.19,0.84,69.906
163,10301,2019,1354,1112,242,0.72,0.8,292.23,417.48,1.14,1.03,70.1754
164,10301,2020,1332,1091,241,0.72,0.79,286.71,409.59,1.12,1.03,70.5357
165,10301,2021,1309,1069,240,0.51,0.55,200.62,286.59,0.79,0.73,69.6203
166,10301,2022,1283,1046,237,0.52,0.54,198.09,282.99,0.78,0.74,69.2308
167,10301,2023,1258,1026,232,0.43,0.44,161.03,230.04,0.63,0.61,69.8413
168,10301,2024,1232,1004,228,0.43,0.43,157.58,225.11,0.62,0.61,69.3548
169,10302,2019,321,124,197,0.54,0.07,24.5,35.0,0.1,0.77,70.0
170,10302,2020,319,122,197,0.53,0.07,23.8,34.0,0.09,0.76,77.7778
171,10302,2021,317,120,197,0.51,0.06,22.52,32.17,0.09,0.73,66.6667
172,10302,2022,313,118,195,0.52,0.06,22.35,31.92,0.09,0.74,66.6667
173,10302,2023,310,117,193,0.53,0.06,22.78,32.54,0.09,0.76,66.6667
174,10302,2024,308,116,192,0.53,0.06,22.44,32.06,0.09,0.76,66.6667
175,10303,2019,301,291,10,0.4,0.12,42.45,60.64,0.17,0.57,70.5882
176,10303,2020,301,291,10,0.4,0.12,42.45,60.64,0.17,0.57,70.5882
177,10303,2021,300,289,11,0.52,0.15,54.85,78.36,0.21,0.74,71.4286
178,10303,2022,298,287,11,0.52,0.15,54.47,77.82,0.21,0.74,71.4286
179,10303,2023,297,286,11,0.52,0.15,54.28,77.55,0.21,0.74,71.4286
180,10303,2024,292,281,11,0.52,0.15,53.33,76.19,0.21,0.74,71.4286
181,10304,2019,819,80,739,0.54,0.04,15.81,22.58,0.06,0.77,66.6667
182,10304,2020,825,80,745,0.53,0.04,15.6,22.29,0.06,0.76,66.6667
183,10304,2021,831,79,752,0.51,0.04,14.83,21.18,0.06,0.73,66.6667
184,10304,2022,835,79,756,0.52,0.04,14.96,21.37,0.06,0.74,66.6667
185,10304,2023,838,79,759,0.53,0.04,15.38,21.97,0.06,0.76,66.6667
186,10304,2024,849,80,769,0.53,0.04,15.48,22.11,0.06,0.76,66.6667
187,10305,2019,694,384,310,0.54,0.21,75.88,108.39,0.3,0.77,70.0
188,10305,2020,684,376,308,0.53,0.2,73.34,104.77,0.29,0.76,68.9655
189,10305,2021,673,368,305,0.51,0.19,69.06,98.66,0.27,0.73,70.3704
190,10305,2022,662,359,303,0.52,0.19,67.99,97.12,0.27,0.74,70.3704
191,10305,2023,650,352,298,0.53,0.19,68.52,97.89,0.27,0.76,70.3704
192,10305,2024,638,346,292,0.53,0.18,66.93,95.62,0.26,0.76,69.2308
193,10306,2019,6409,3858,2551,0.47,1.81,661.84,945.49,2.59,0.67,69.8842
194,10306,2020,6397,3829,2568,0.47,1.8,656.86,938.38,2.57,0.67,70.0389
195,10306,2021,6380,3800,2580,0.28,1.06,388.36,554.8,1.52,0.4,69.7368
196,10306,2022,6353,3763,2590,0.28,1.05,384.58,549.4,1.51,0.4,69.5364
197,10306,2023,6321,3744,2577,0.28,1.05,382.64,546.62,1.5,0.4,70.0
198,10306,2024,6283,3722,2561,0.28,1.04,380.39,543.41,1.49,0.4,69.7987
199,10307,2019,7994,6721,1273,0.3,2.02,735.95,1051.36,2.88,0.43,70.1389
200,10307,2020,7931,6653,1278,0.3,2.0,728.5,1040.72,2.85,0.43,70.1754
201,10307,2021,7855,6576,1279,0.2,1.32,480.05,685.78,1.88,0.29,70.2128
202,10307,2022,7774,6493,1281,0.2,1.3,473.99,677.13,1.86,0.29,69.8925
203,10307,2023,7683,6417,1266,0.64,4.11,1499.01,2141.44,5.87,0.91,70.017
204,10307,2024,7588,6338,1250,0.64,4.06,1480.56,2115.08,5.79,0.91,70.1209
205,10308,2019,219,63,156,0.55,0.03,12.58,17.97,0.05,0.78,60.0
206,10308,2020,218,62,156,0.55,0.03,12.38,17.68,0.05,0.78,60.0
207,10308,2021,215,60,155,0.51,0.03,11.26,16.09,0.04,0.73,75.0
208,10308,2022,216,61,155,0.52,0.03,11.55,16.5,0.05,0.74,60.0
209,10308,2023,215,61,154,0.53,0.03,11.87,16.96,0.05,0.76,60.0
210,10308,2024,208,59,149,0.53,0.03,11.41,16.31,0.04,0.76,75.0
211,10309,2019,535,386,149,0.54,0.21,76.27,108.96,0.3,0.77,70.0
212,10309,2020,551,397,154,0.58,0.23,84.04,120.06,0.33,0.83,69.697
213,10309,2021,565,406,159,0.58,0.24,85.95,122.79,0.34,0.83,70.5882
214,10309,2022,579,414,165,0.58,0.24,87.64,125.21,0.34,0.83,70.5882
215,10309,2023,592,423,169,0.58,0.25,89.55,127.93,0.35,0.83,71.4286
216,10309,2024,606,433,173,0.58,0.25,91.67,130.95,0.36,0.83,69.4444
217,10310,2019,1656,865,791,0.54,0.47,170.92,244.17,0.67,0.77,70.1493
218,10310,2020,1678,870,808,0.53,0.46,169.7,242.43,0.66,0.76,69.697
219,10310,2021,1698,876,822,0.51,0.45,164.4,234.85,0.64,0.73,70.3125
220,10310,2022,1716,879,837,0.38,0.33,121.92,174.17,0.48,0.54,68.75
221,10310,2023,1730,886,844,0.38,0.34,122.89,175.55,0.48,0.54,70.8333
222,10310,2024,1748,895,853,0.38,0.34,124.14,177.34,0.49,0.54,69.3878
223,10311,2019,868,282,586,0.54,0.15,55.72,79.6,0.22,0.77,68.1818
224,10311,2020,837,269,568,0.53,0.14,52.47,74.96,0.21,0.76,66.6667
225,10311,2021,806,257,549,0.51,0.13,48.23,68.9,0.19,0.73,68.4211
226,10311,2022,775,245,530,0.2,0.05,17.89,25.55,0.07,0.29,71.4286
227,10311,2023,745,236,509,0.2,0.05,17.23,24.61,0.07,0.29,71.4286
228,10311,2024,715,226,489,0.2,0.05,16.5,23.57,0.06,0.29,83.3333
229,10312,2019,5802,2246,3556,0.54,1.22,443.8,633.99,1.74,0.77,70.1149
230,10312,2020,5757,2210,3547,0.53,1.18,431.07,615.82,1.69,0.76,69.8225
231,10312,2021,5706,2174,3532,0.23,0.5,182.51,260.72,0.71,0.33,70.4225
232,10312,2022,5645,2133,3512,0.23,0.49,179.07,255.81,0.7,0.33,70.0
233,10312,2023,5581,2109,3472,0.23,0.49,177.05,252.93,0.69,0.33,71.0145
234,10312,2024,5513,2083,3430,0.23,0.48,174.87,249.81,0.68,0.33,70.5882
235,10401,2019,21071,4403,16668,0.56,2.48,904.08,1291.55,3.54,0.8,70.0565
236,10401,2020,20847,4335,16512,0.56,2.44,890.12,1271.6,3.48,0.8,70.1149
237,10401,2021,20569,4261,16308,0.57,2.43,886.5,1266.43,3.47,0.81,70.0288
238,10401,2022,20264,4178,16086,0.57,2.38,869.23,1241.76,3.4,0.81,70.0
239,10401,2023,19939,4111,15828,0.57,2.34,855.29,1221.85,3.35,0.81,69.8507
240,10401,2024,19600,4041,15559,0.57,2.3,840.73,1201.04,3.29,0.81,69.9088
241,10402,2019,12213,1142,11071,0.55,0.62,227.98,325.68,0.89,0.78,69.6629
242,10402,2020,12537,1166,11371,0.55,0.64,232.76,332.51,0.91,0.78,70.3297
243,10402,2021,12854,1190,11664,0.51,0.61,223.32,319.03,0.87,0.73,70.1149
244,10402,2022,13122,1208,11914,0.52,0.63,228.77,326.81,0.9,0.74,70.0
245,10402,2023,13358,1230,12128,0.53,0.66,239.43,342.05,0.94,0.76,70.2128
246,10402,2024,13578,1250,12328,0.53,0.66,241.81,345.45,0.95,0.76,69.4737
247,10403,2019,17543,2380,15163,0.54,1.29,470.27,671.82,1.84,0.77,70.1087
248,10403,2020,17960,2424,15536,0.53,1.3,472.82,675.45,1.85,0.76,70.2703
249,10403,2021,18364,2469,15895,0.51,1.27,463.35,661.93,1.81,0.73,70.1657
250,10403,2022,18696,2501,16195,0.52,1.3,473.64,676.63,1.85,0.74,70.2703
251,10403,2023,18978,2539,16439,0.53,1.35,494.24,706.06,1.93,0.76,69.9482
252,10403,2024,19233,2573,16660,0.53,1.36,497.75,711.07,1.95,0.76,69.7436
253,10501,2019,2381,2123,258,0.51,1.09,396.28,566.11,1.55,0.73,70.3226
254,10501,2020,2375,2113,262,0.51,1.08,394.41,563.45,1.54,0.73,70.1299
255,10501,2021,2363,2098,265,0.52,1.09,398.2,568.86,1.56,0.74,69.8718
256,10501,2022,2345,2078,267,0.52,1.08,394.4,563.43,1.54,0.74,70.1299
257,10501,2023,2326,2061,265,0.52,1.07,391.18,558.83,1.53,0.74,69.9346
258,10501,2024,2305,2043,262,0.52,1.06,387.76,553.94,1.52,0.74,69.7368
259,10502,2019,7422,4618,2804,0.54,2.5,912.49,1303.56,3.57,0.77,70.028
260,10502,2020,7515,4641,2874,0.53,2.48,905.25,1293.22,3.54,0.76,70.0565
261,10502,2021,7584,4654,2930,0.51,2.39,873.4,1247.71,3.42,0.73,69.883
262,10502,2022,7644,4656,2988,0.52,2.42,881.75,1259.64,3.45,0.74,70.1449
263,10502,2023,7688,4683,3005,0.53,2.5,911.6,1302.28,3.57,0.76,70.028
264,10502,2024,7729,4708,3021,0.53,2.5,910.76,1301.09,3.56,0.76,70.2247
265,10503,2019,2068,366,1702,0.54,0.2,72.32,103.31,0.28,0.77,71.4286
266,10503,2020,2045,357,1688,0.53,0.19,69.63,99.48,0.27,0.76,70.3704
267,10503,2021,2015,347,1668,0.51,0.18,65.12,93.03,0.25,0.73,72.0
268,10503,2022,1983,336,1647,0.52,0.17,63.63,90.9,0.25,0.74,68.0
269,10503,2023,1948,330,1618,0.53,0.18,64.24,91.77,0.25,0.76,72.0
270,10503,2024,1913,324,1589,0.53,0.17,62.68,89.54,0.25,0.76,68.0
271,10504,2019,1975,1268,707,0.44,0.55,202.56,289.38,0.79,0.63,69.6203
272,10504,2020,1933,1232,701,0.44,0.54,196.42,280.6,0.77,0.62,70.1299
273,10504,2021,1887,1195,692,0.44,0.53,191.92,274.17,0.75,0.63,70.6667
274,10504,2022,1838,1157,681,0.45,0.52,188.05,268.64,0.74,0.64,70.2703
275,10504,2023,1789,1126,663,0.44,0.5,182.08,260.12,0.71,0.63,70.4225
276,10504,2024,1739,1095,644,0.45,0.49,179.85,256.93,0.7,0.64,70.0
277,10505,2019,1939,1102,837,0.54,0.6,217.75,311.07,0.85,0.77,70.5882
278,10505,2020,1923,1084,839,0.25,0.27,98.92,141.31,0.39,0.36,69.2308
279,10505,2021,1899,1062,837,0.25,0.27,96.91,138.44,0.38,0.36,71.0526
280,10505,2022,1875,1040,835,0.25,0.26,94.9,135.57,0.37,0.36,70.2703
281,10505,2023,1847,1024,823,0.25,0.26,93.44,133.49,0.37,0.36,70.2703
282,10505,2024,1819,1009,810,0.25,0.25,92.07,131.53,0.36,0.36,69.4444
283,10506,2019,502,342,160,0.44,0.15,54.64,78.05,0.21,0.63,71.4286
284,10506,2020,486,330,156,0.44,0.14,52.61,75.16,0.21,0.62,66.6667
285,10506,2021,469,315,154,0.44,0.14,50.59,72.27,0.2,0.63,70.0
286,10506,2022,451,302,149,0.45,0.13,49.08,70.12,0.19,0.64,68.4211
287,10506,2023,434,291,143,0.44,0.13,47.06,67.22,0.18,0.63,72.2222
288,10506,2024,417,279,138,0.45,0.13,45.83,65.47,0.18,0.64,72.2222
289,10507,2019,892,216,676,0.54,0.12,42.68,60.97,0.17,0.77,70.5882
290,10507,2020,883,210,673,0.53,0.11,40.96,58.52,0.16,0.76,68.75
291,10507,2021,873,205,668,0.32,0.07,23.94,34.21,0.09,0.46,77.7778
292,10507,2022,860,199,661,0.32,0.06,23.24,33.2,0.09,0.46,66.6667
293,10507,2023,847,196,651,0.32,0.06,22.89,32.7,0.09,0.46,66.6667
294,10507,2024,833,193,640,0.32,0.06,22.54,32.2,0.09,0.46,66.6667
295,10508,2019,876,352,524,0.44,0.15,56.23,80.33,0.22,0.63,68.1818
296,10508,2020,858,341,517,0.44,0.15,54.37,77.67,0.21,0.62,71.4286
297,10508,2021,838,329,509,0.44,0.14,52.84,75.48,0.21,0.63,66.6667
298,10508,2022,817,318,499,0.45,0.14,51.69,73.84,0.2,0.64,70.0
299,10508,2023,796,310,486,0.44,0.14,50.13,71.61,0.2,0.63,70.0
300,10508,2024,775,302,473,0.45,0.14,49.6,70.86,0.19,0.64,73.6842
301,10509,2019,4139,2418,1721,0.44,1.06,386.28,551.83,1.51,0.63,70.1987
302,10509,2020,4118,2387,1731,0.44,1.04,380.56,543.66,1.49,0.62,69.7987
303,10509,2021,4086,2350,1736,0.35,0.82,300.21,428.88,1.18,0.5,69.4915
304,10509,2022,4047,2308,1739,0.35,0.81,294.85,421.21,1.15,0.5,70.4348
305,10509,2023,4004,2283,1721,0.35,0.8,291.65,416.65,1.14,0.5,70.1754
306,10509,2024,3957,2257,1700,0.35,0.79,288.33,411.9,1.13,0.5,69.9115
307,10510,2019,407,407,0,0.44,0.18,65.02,92.88,0.25,0.63,72.0
308,10510,2020,405,405,0,0.44,0.18,64.57,92.24,0.25,0.62,72.0
309,10510,2021,401,401,0,0.44,0.18,64.4,92.0,0.25,0.63,72.0
310,10510,2022,398,398,0,0.45,0.18,64.69,92.41,0.25,0.64,72.0
311,10510,2023,394,394,0,0.27,0.11,38.83,55.47,0.15,0.39,73.3333
312,10510,2024,388,388,0,0.27,0.1,38.24,54.62,0.15,0.39,66.6667
313,10511,2019,785,391,394,0.54,0.21,77.26,110.37,0.3,0.77,70.0
